,fpc.EXO2
RAB9A,2329.03089792966
RABEPK,2329.03089792966
SYT16,2329.03089792966
SYT14,2329.03089792966
SNAPIN,2329.03089792966
HAP1,2329.03089792966
GPLD1,2329.03089792966
APOA1,2329.03089792966
VPS33A,2329.03089792966
VPS18,2329.03089792966
SNX6,2329.03089792966
SNX4,2329.03089792966
TGFB2,2329.03089792966
TGFB1,2329.03089792966
COPS5,2329.03089792966
PPIA,2329.03089792966
LRRK2,2329.03089792966
SCFD1,2329.03089792966
ANXA3,2329.03089792966
STXBP2,2329.03089792966
SEC22A,2329.03089792966
TMEM79,2329.03089792966
CD63,2329.04270091134
CD36,2329.04270091134
EXOC7,2329.04270225275
EXOC6,2329.04270225275
RAB37,2329.07828435624
VTI1B,2329.07847684298
SYTL1,2329.09103566633
SYTL2,2329.09103566633
SYTL5,2329.09103566633
STXBP5,2329.14189011759
CPLX2,2329.14189011759
STX1B,2329.14267687765
STX11,2329.14267687765
STX19,2329.14267687765
RAB3GAP1,2329.14929230753
ARFGEF1,4658.10891388291
ARFGEF2,4658.10891388291
ACTN2,4658.33423851903
VAMP5,4658.39974611
RAB11B,4719.7135786212
RAB11FIP1,4719.7135786212
NAPB,4773.68940897009
VAMP3,4796.7633615187
CD9,4842.7483109768
EXOC3,5027.45608350512
EXOC5,5027.45608350512
ACTN4,6987.2369362805
ACTN1,6987.2369362805
RIMS2,7107.44819893109
RAB11FIP5,7110.31607953485
RAB25,7110.31607953485
STX2,8803.71838869603
RAB26,8949.38359630697
VAMP4,9829.89537345048
RAB3C,12681.7680166166
RAB3D,12681.7680166166
RAB3B,16559.6324197189
RIMS1,17162.095634423
SNAP29,19775.4222258628
STX3,22963.7251462073
RPH3A,28677.4807025867
RPH3AL,31130.6750410628
STXBP1,39637.7470226605
STX1A,44512.1570162167
SYTL4,56108.3077803359
RAB27B,58550.7417067687
