,fpc.score
RAB9A,822109.385746768
RABEPK,822109.385746768
SYT16,822109.385746768
SYT14,822109.385746768
VPS33A,822109.385746768
VPS18,822109.385746768
ITPR1,822109.385746768
ITPR3,822109.385746768
TMPRSS4,822109.386502158
MSR1,822109.387209062
HAP1,822109.447796656
RAB39A,822109.450161278
RAB37,822109.450519717
VTI1B,822109.451473225
CD6,822109.45288991
VPS33B,822109.454467374
LDLRAP1,822109.454840562
PCSK9,822109.454840562
CD63,822109.455035499
EPN2,822109.455178781
HIP1,822109.455399959
STX1B,822109.45601012
STX11,822109.45601012
STX19,822109.45601012
SYTL1,822109.456309348
SYTL5,822109.456309348
SORT1,822109.456775961
DBNL,822109.457424421
SSC5D,822109.458204772
RAB5C,822109.45872084
MYO1G,822109.458883872
APOL1,822109.459293711
GPLD1,822109.459293711
APOC1,822109.459293711
SNX32,822109.459786808
STXBP5,822109.460088496
CPLX2,822109.460088496
RAB4B,822109.460551516
CYTH2,822109.461941317
RIN3,822109.462116419
SNX33,822109.462767875
RAB8B,822109.463709563
CD3G,822109.464750267
RAB33B,822109.46487078
PDGFB,822109.465654037
GULP1,822109.465654037
LIMK1,822109.466602386
BTBD9,822109.468019641
PPIA,822109.468019641
LAMP2,822109.468349219
SPESP1,822109.468349219
SCG3,822109.468349219
PDGFA,822109.470006034
AHI1,822109.470646221
IGF2,822109.470689545
VEGFA,822109.470689545
TOM1,822109.472593562
VRK2,822109.480555101
KIF3A,822109.488763002
AMBP,822109.488763002
WDR1,822109.488763002
ELMO2,822109.488763002
SNX18,822109.488763002
WIPF3,822109.488763002
TLN1,822109.51041775
IGHG1,822109.51041775
IGHG3,822109.51041775
EXOC6B,822109.51041775
ATAD1,822109.51041775
HYOU1,822109.51041775
ARFGEF2,1644218.84161096
GAS6,1644218.84523698
PDLIM7,1644218.85992168
HABP4,1644218.86918873
ANXA11,1644221.37759653
STXBP2,1644221.37759653
ACTN2,1644221.38617446
VAMP5,1644221.38998453
SGIP1,1644221.3905087
TGFB1,1644221.39440004
TGFB2,1644221.39440004
CORO1C,1644221.39950505
TUB,1644221.4064286
WASF2,1644221.40895961
ARHGAP27,1644221.4198796
FLNA,1644221.43350296
AHSG,1644221.43499396
EXOC6,1644221.43522265
ALDOA,1644221.44034968
HOOK2,1644221.44343247
NCAM1,1644221.444734
RAB11FIP1,1646390.32887515
ELMO1,1650733.33759883
NAPB,1656299.947272
SEC22A,1657247.33154021
TMEM79,1657247.33224711
CLN3,1669191.01890485
DNM3,1672869.57915028
CBLL1,1680946.65365237
KNG1,1683901.53671422
VWF,1698646.15737946
VAMP3,1707178.10572941
TGM2,1708778.23658325
CD24,1710286.53890077
CD93,1845145.6154258
SORL1,1946378.94035831
FGR,2030620.35101411
SCFD1,2050248.31923753
MYO1C,2050248.31923753
RAB11B,2102403.95805037
ACTN1,2466328.67756103
ANKFY1,2466329.08024764
ABI1,2466329.10857677
SNX4,2466330.82864163
EXOC3,2472844.05586036
TRIP10,2494589.10028559
FNBP1L,2494589.10028559
WIPF2,2509084.06245507
STX2,2553046.54231614
RAB26,2554929.10868757
VLDLR,2611786.38285635
APOB,2715312.06984649
SNAPIN,3025288.27466273
VAMP4,3025288.28318001
HIP1R,3025288.28351887
CD5,3025288.28811095
LRSAM1,3025288.33380413
CAV2,3295480.43356275
RAB25,3382698.06474925
FNBP1,3393366.65400828
PLCG2,3584150.89106283
LGALS3BP,3613594.19486335
REPS1,3771206.31647927
VAV3,3825685.30374679
RAB5B,3847397.6806012
ARFGEF1,3847397.71771471
EXOC7,3847398.56616827
SNX5,3856570.26561339
APOE,3890926.25941897
VAV2,3904500.25382325
CD9,4012794.77813055
RAB3GAP1,4177978.5072054
MICALL1,4297861.90929815
SYN1,4377498.82733282
TOR1A,4393329.15770972
CLTCL1,4435370.60558655
TFRC,4466991.00255548
RAB3C,4648258.54743983
RAB3D,4648258.54743983
IGKC,4905118.21625497
RAB22A,4928004.98054765
SNX6,4939170.97558881
SH3GL3,4958375.6749113
SNX17,4997135.95156636
RABEP1,5122867.70793961
ANXA3,5215439.39755778
SNX1,5491617.26200077
DOCK1,5573275.65823
RIMS1,5655961.14564102
RAB3B,5695839.18174764
STON2,5748341.09176598
ARPC2,5810495.76357599
ARPC5,5883125.91699278
RPH3A,5944020.9181752
ACTN4,6037548.00826614
PICALM,6046581.02829585
TYRO3,6303845.20034766
EXOC5,6398413.83286988
SYNJ1,6449627.79643947
RPH3AL,6567378.13655853
EGF,6594885.5928496
