"","x"
"MARCO",4396825.63955126
"SCGB3A2",4396825.63955126
"COL3A1",4396827.022809
"APOL1",4396827.10725744
"COL4A2",4396827.29324371
"GJA5",4396827.30508842
"GJA8",4396827.31516922
"AMBP",4396827.32829227
"GJC2",4396827.32829227
"HPX",4396827.32829227
"DNAJC6",4396827.3339838
"MYH13",4396827.34641651
"CD36",4396827.40351675
"MYH6",4396827.80578987
"TRO",4396827.80578987
"RAB13",4396827.80578987
"M6PR",4396827.80578987
"CPD",4396827.80578987
"RALGAPB",4396827.80578987
"IGHA2",4396827.80578987
"IGF2R",4396827.80578987
"CLTB",4396827.80578987
"CHMP7",4396827.80578987
"SAR1B",4396827.80578987
"GJC1",4396827.80578987
"CTSZ",4396827.80578987
"GNS",4396827.80578987
"OCRL",4396827.80578987
"MYH15",4396827.80578987
"GJB3",4396827.80578987
"GJB2",4396827.80578987
"MYH8",4396827.80578987
"IGLC7",4396827.80578987
"IGLV1-40",4396827.80578987
"IGLV2-11",4396827.80578987
"TBC1D8B",4396827.80578987
"LNPEP",4396827.80578987
"DNASE2",4396827.80578987
"GJB4",4396827.80578987
"GJD3",8793652.92593904
"GJB5",8793652.94691777
"MYH7B",8793653.51655043
"PRKAG3",8793665.87500711
"AP3S1",8793666.36855488
"CLTCL1",8793666.3699583
"SNX2",8793666.3699583
"HIP1R",8793666.37078579
"AP1S3",8793666.37172122
"SORT1",8793666.37251048
"COL1A2",8793666.37305512
"CHMP2B",8793666.37526832
"HYOU1",8793666.37577631
"PREB",8793666.37851314
"SLC2A4",8793666.37851314
"PUM1",8793666.37985476
"TUBB4A",8793666.38070368
"MYH1",8793666.38269052
"MYO1C",8793666.38269052
"MYH7",8793666.38608063
"MYH2",8793666.38608063
"ASPSCR1",8793666.3984954
"RAB5C",8793666.3984954
"ARFGAP3",8793666.3984954
"GAK",8793666.3984954
"GJB1",8793666.3984954
"COLEC12",8866495.62777256
"HP",8968475.21627192
"TUBB1",13190483.3425843
"RHOQ",13190483.5483262
"BLOC1S3",13190491.6111349
"HSP90B1",13190491.9845502
"GJA3",13190491.9904472
"GBF1",13190491.9947848
"CLTA",13190491.9953547
"PIK3C2A",13190491.9994381
"VAMP7",13190492.1910548
"AP1G2",13201414.0552581
"TGOLN2",13205056.1913157
"UBA52",13207969.9013763
"AP3B1",13219623.5946128
"AP4S1",13251675.4842988
"AP1M2",13251675.4950802
"RAB14",13260128.4300651
"HBA1",13365300.8131046
"IGKC",15494700.3577073
"FTL",17587306.9045272
"CHMP4C",17587310.614841
"MYO6",17587311.1228923
"TBC1D1",17587317.6100722
"UBB",17608968.3012889
"VPS4B",17614369.1019702
