MoleculeType	Identifier	MoleculeName	
Proteins	P02760	UniProt:P02760 AMBP	
Proteins	P63027	UniProt:P63027 VAMP2	
Proteins	Q9BV40	UniProt:Q9BV40 VAMP8	
Proteins	P51809	UniProt:P51809 VAMP7	
Proteins	O43633	UniProt:O43633 CHMP2A	
Proteins	Q9UQN3	UniProt:Q9UQN3 CHMP2B	
Proteins	Q96CF2	UniProt:Q96CF2 CHMP4C	
Proteins	Q8WUX9	UniProt:Q8WUX9 CHMP7	
Proteins	Q9H444	UniProt:Q9H444 CHMP4B	
Proteins	Q9Y3E7	UniProt:Q9Y3E7 CHMP3	
Proteins	Q96FZ7	UniProt:Q96FZ7 CHMP6	
Proteins	Q9BY43	UniProt:Q9BY43 CHMP4A	
Proteins	P17302	UniProt:P17302 GJA1	
Proteins	P12931	UniProt:P12931-2 SRC	
Proteins	Q07157	UniProt:Q07157 TJP1	
Proteins	Q92845	UniProt:Q92845 KIFAP3	
Proteins	O15066	UniProt:O15066 KIF3B	
Proteins	Q9Y496	UniProt:Q9Y496 KIF3A	
Proteins	P05067	UniProt:P05067 APP	
Proteins	P61981	UniProt:P61981 YWHAG	
Proteins	P31946	UniProt:P31946 YWHAB	
Proteins	P63104	UniProt:P63104 YWHAZ	
Proteins	P27348	UniProt:P27348 YWHAQ	
Proteins	Q04917	UniProt:Q04917 YWHAH	
Proteins	P31947	UniProt:P31947 SFN	
Proteins	Q86TI0	UniProt:Q86TI0 TBC1D1	
Proteins	P62258	UniProt:P62258 YWHAE	
Proteins	P00738	UniProt:P00738 HP	
Proteins	P68871	UniProt:P68871 HBB	
Proteins	P69905	UniProt:P69905 HBA1	
Proteins	Q86VB7	UniProt:Q86VB7 CD163	
Proteins	P21757	UniProt:P21757 MSR1	
Proteins	O95295	UniProt:O95295 SNAPIN	
Proteins	Q9Y6Q5	UniProt:Q9Y6Q5 AP1M2	
Proteins	Q10567	UniProt:Q10567 AP1B1	
Proteins	O43493	UniProt:O43493 TGOLN2	
Proteins	P50570	UniProt:P50570 DNM2	
Proteins	Q0IIM8	UniProt:Q0IIM8 TBC1D8B	
Proteins	O00203	UniProt:O00203 AP3B1	
Proteins	P61966	UniProt:P61966 AP1S1	
Proteins	Q96EC8	UniProt:Q96EC8 YIPF6	
Proteins	P09496	UniProt:P09496-1 CLTA	
Proteins	P49407	UniProt:P49407 ARRB1	
Proteins	Q16890	UniProt:Q16890 TPD52L1	
Proteins	Q9Y5X1	UniProt:Q9Y5X1 SNX9	
Proteins	O00443	UniProt:O00443 PIK3C2A	
Proteins	P56377	UniProt:P56377 AP1S2	
Proteins	Q99523	UniProt:Q99523 SORT1	
Proteins	P11717	UniProt:P11717 IGF2R	
Proteins	Q01968	UniProt:Q01968 OCRL	
Proteins	Q92572	UniProt:Q92572 AP3S1	
Proteins	Q8NC96	UniProt:Q8NC96 NECAP1	
Proteins	O14976	UniProt:O14976 GAK	
Proteins	Q9UPM8	UniProt:Q9UPM8 AP4E1	
Proteins	O60749	UniProt:O60749 SNX2	
Proteins	Q96PC3	UniProt:Q96PC3 AP1S3	
Proteins	O43747	UniProt:O43747 AP1G1	
Proteins	O75976	UniProt:O75976 CPD	
Proteins	Q9Y5X3	UniProt:Q9Y5X3 SNX5	
Proteins	Q9BXS5	UniProt:Q9BXS5 AP1M1	
Proteins	Q13492	UniProt:Q13492 PICALM	
Proteins	P51148	UniProt:P51148 RAB5C	
Proteins	Q99962	UniProt:Q99962 SH3GL2	
Proteins	P55327	UniProt:P55327 TPD52	
Proteins	Q9Y6B7	UniProt:Q9Y6B7 AP4B1	
Proteins	P02786	UniProt:P02786 TFRC	
Proteins	O75146	UniProt:O75146 HIP1R	
Proteins	Q00610	UniProt:Q00610-1 CLTC	
Proteins	P04114	UniProt:P04114 APOB	
Proteins	P09486	UniProt:P09486 SPARC	
Proteins	O14964	UniProt:O14964 HGS	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	P02790	UniProt:P02790 HPX	
Proteins	P84077	UniProt:P84077 ARF1	
Proteins	Q9HCU5	UniProt:Q9HCU5 PREB	
Proteins	Q9Y6B6	UniProt:Q9Y6B6 SAR1B	
Proteins	P0DJI8	UniProt:P0DJI8 SAA1	
Proteins	Q8WTV0	UniProt:Q8WTV0-2 SCARB1	
Proteins	Q96EV8	UniProt:Q96EV8 DTNBP1	
Proteins	P61026	UniProt:P61026 RAB10	
Proteins	P61006	UniProt:P61006 RAB8A	
Proteins	P61106	UniProt:P61106 RAB14	
Proteins	P51153	UniProt:P51153 RAB13	
